Date,Station,Hauteur,Opérationnel
2018-01-01,01 VILLEURBANNE,0.8,True
2018-01-02,01 VILLEURBANNE,0.0,True
2018-01-03,01 VILLEURBANNE,10.8,True
2018-01-04,01 VILLEURBANNE,18.0,True
2018-01-05,01 VILLEURBANNE,0.4,True
2018-01-06,01 VILLEURBANNE,0.2,True
2018-01-08,01 VILLEURBANNE,4.4,True
2018-01-09,01 VILLEURBANNE,2.6,True
2018-01-10,01 VILLEURBANNE,0.0,True
2018-01-11,01 VILLEURBANNE,0.0,True
2018-01-12,01 VILLEURBANNE,0.0,True
2018-01-15,01 VILLEURBANNE,0.8,True
2018-01-16,01 VILLEURBANNE,2.6,True
2018-01-17,01 VILLEURBANNE,2.0,True
2018-01-18,01 VILLEURBANNE,0.4,True
2018-01-19,01 VILLEURBANNE,3.0,True
2018-01-20,01 VILLEURBANNE,8.4,True
2018-01-21,01 VILLEURBANNE,3.8000000000000003,True
2018-01-22,01 VILLEURBANNE,1.6,True
2018-01-25,01 VILLEURBANNE,0.0,True
2018-01-26,01 VILLEURBANNE,27.6,True
2018-01-27,01 VILLEURBANNE,2.2,True
2018-01-29,01 VILLEURBANNE,0.4,True
2018-01-30,01 VILLEURBANNE,0.0,True
2018-01-31,01 VILLEURBANNE,1.2000000000000002,True
2018-02-01,01 VILLEURBANNE,6.4,True
2018-02-02,01 VILLEURBANNE,0.0,True
2018-02-03,01 VILLEURBANNE,1.2000000000000002,True
2018-02-05,01 VILLEURBANNE,5.0,True
2018-02-06,01 VILLEURBANNE,1.0,False
2018-02-07,01 VILLEURBANNE,0.4,True
2018-02-09,01 VILLEURBANNE,1.8,True
2018-02-10,01 VILLEURBANNE,0.4,True
2018-02-11,01 VILLEURBANNE,1.0,True
2018-02-12,01 VILLEURBANNE,1.6,True
2018-02-13,01 VILLEURBANNE,0.6000000000000001,True
2018-02-14,01 VILLEURBANNE,1.8,True
2018-02-15,01 VILLEURBANNE,4.2,True
2018-02-16,01 VILLEURBANNE,3.6,True
2018-02-17,01 VILLEURBANNE,3.8000000000000003,True
2018-02-18,01 VILLEURBANNE,0.0,True
2018-02-21,01 VILLEURBANNE,0.0,True
2018-02-28,01 VILLEURBANNE,0.2,True
2018-03-01,01 VILLEURBANNE,2.2,True
2018-03-02,01 VILLEURBANNE,13.600000000000001,True
2018-03-03,01 VILLEURBANNE,3.0,True
2018-03-04,01 VILLEURBANNE,8.4,True
2018-03-05,01 VILLEURBANNE,0.0,True
2018-03-06,01 VILLEURBANNE,6.8,True
2018-03-07,01 VILLEURBANNE,0.0,True
2018-03-08,01 VILLEURBANNE,0.0,True
2018-03-09,01 VILLEURBANNE,0.4,True
2018-03-10,01 VILLEURBANNE,13.600000000000001,True
2018-03-11,01 VILLEURBANNE,1.6,True
2018-03-12,01 VILLEURBANNE,0.6000000000000001,True
2018-03-13,01 VILLEURBANNE,0.2,True
2018-03-14,01 VILLEURBANNE,0.0,True
2018-03-15,01 VILLEURBANNE,20.0,True
2018-03-16,01 VILLEURBANNE,6.2,True
2018-03-17,01 VILLEURBANNE,5.800000000000001,True
2018-03-18,01 VILLEURBANNE,0.0,True
2018-03-20,01 VILLEURBANNE,0.0,True
2018-03-22,01 VILLEURBANNE,0.2,True
2018-03-23,01 VILLEURBANNE,0.0,True
